conversation_hash,task_type,product_word_count,openai_score,qwen_score,xai_score,avg_score,product_turn
b5427273538feeaf0aa9f3f08272858f,story,239,20,25.0,35.0,26.7,4
257d50642b7a6c5faa498eefd0d778d7,story,485,46,42.0,42.0,43.3,4
d6e323ca9dcc5f11ffe8f129409d4ead,script,444,36,32.0,42.0,36.7,5
7677cfa99eb53b10f47e929251029438,letter,91,15,12.0,15.0,14.0,5
819faed08663a85ab976de353805f09b,script,465,20,15.0,25.0,20.0,5
514cd12144c73f973f7d0cd0df7d74fc,letter,248,15,15.0,20.0,16.7,6
ffabb12805b0cd2c8d6a51f9751e385b,script,327,20,25.0,35.0,26.7,5
47c7617dba326c0c0dae4af2681a98ed,story,467,28,15.0,35.0,26.0,1
3bedcd2d1ea4fad425c12d7a67d36b41,script,321,20,15.0,35.0,23.3,5
213b9146eb45aad296b9f9d75d1e62d1,script,357,20,15.0,30.0,21.7,4
16559a4712a3a0d04ec2510ed0117fda,story,387,28,12.0,35.0,25.0,1
0b1d01d6ad38f141567c1bbf08ae41bc,script,496,30,15.0,35.0,26.7,5
e555c485ed710d308587ecfe94b36468,story,358,38,12.0,35.0,28.3,2
1739b48505a9f300e52f9899881f5610,script,407,32,15.0,38.0,28.3,3
08d5f50781a69a66b12a80598f0c43fc,fan_fiction,423,32,35.0,38.0,35.0,4
236db3f27e884458e19c7bc96beee09f,script,231,20,15.0,25.0,20.0,5
1b6c3e849a104f77f18b4d1e3a2b0d66,worldbuilding,254,20,15.0,38.0,24.3,3
08cc5646d6cd6d59d6464f55a7180148,fan_fiction,362,28,18.0,35.0,27.0,5
7458600db50377cf33dbb405aec4f3e5,story,295,24,25.0,35.0,28.0,8
6de291e00583e4579a0249f4e5f42a48,worldbuilding,150,30,15.0,35.0,26.7,1
b1974893211ef63809f659eb613551c7,script,440,20,15.0,25.0,20.0,5
6b7ae14531fe6245843777b5e8ab9c6a,fan_fiction,492,28,38.0,38.0,34.7,3
5611996be17a4f80ea231c0b7bcf2cc0,worldbuilding,535,20,12.0,15.0,15.7,1
1db9263d0bca49b335ebe9d1fae29c64,story,321,24,12.0,25.0,20.3,1
9655f7b3b34598215bf9f59854e90fcc,script,338,20,25.0,35.0,26.7,5
9e5e9baa67ca1681a9bd9598788f8064,script,280,20,15.0,25.0,20.0,5
cfd2b95feb5b9bf62a437ded1ae4ec81,fan_fiction,213,24,15.0,35.0,24.7,5
f9edfd178b895c2cc07db3ed465189d8,script,315,20,15.0,30.0,21.7,5
217e264244d266f3994d1ebb12c1b7a9,script,300,20,12.0,30.0,20.7,5
95615a9be9fce081b8ef6f57e353a871,worldbuilding,208,15,10.0,25.0,16.7,5
59578f17df259d3298bf0545801ab357,letter,350,32,25.0,38.0,31.7,3
5f6375b14323ff77e4c1c0c5d8202b2a,worldbuilding,1108,20,15.0,35.0,23.3,3
4b7b234fd1b82726473951d67b8ead74,worldbuilding,1054,30,15.0,38.0,27.7,3
2e3437cf5387b24bd17f526968f49a85,story,1615,36,42.0,42.0,40.0,3
76e4a86b3d8a0153095a5437d72e4456,fan_fiction,363,20,22.0,35.0,25.7,5
4fb006c10ec9c4d93d8e4cf8d1d82470,script,382,24,15.0,35.0,24.7,5
a16220ab975163de8ba097577922577c,script,250,20,15.0,35.0,23.3,7
28fe4cf78e6f4d78fb72673cf6c6bb0c,story,657,38,10.0,38.0,28.7,1
55d287fde565d0782131cd1331a50e74,worldbuilding,843,20,15.0,35.0,23.3,3
44c128744792a7dc2667da90430dc5aa,script,406,24,22.0,35.0,27.0,5
77323fe75bdd3b4f8d6335b69171788f,story,572,40,12.0,35.0,29.0,4
a7ee5a215587d0569e0406a56230b595,story,823,38,10.0,35.0,27.7,3
b3d54296d710d93f015b3266de836d73,worldbuilding,1263,28,15.0,38.0,27.0,3
2346dac1c22556a33852091baafe9e70,worldbuilding,1157,24,15.0,35.0,24.7,3
7845c1e7ba671bf10ef7231b19f4a229,story,264,20,15.0,20.0,18.3,3
be453757e6f8a7479dd9676c824d54b8,script,477,20,15.0,35.0,23.3,4
0551521bc7554f1f4207b23a95918006,letter,175,10,10.0,10.0,10.0,4
0a4e5c6b3369c43124d32988934e1832,story,641,20,25.0,30.0,25.0,2
21b24697db512ea0cf34e69b27dddc1a,fan_fiction,371,28,25.0,35.0,29.3,2
de4f1357799b860116970652c49660c3,fan_fiction,302,25,15.0,35.0,25.0,3
c81b99a662bf9d662fbfd9cb4e2b99b4,fan_fiction,323,28,25.0,35.0,29.3,4
1ab465616b5f06a9e5853127d24fbece,worldbuilding,62,20,12.0,25.0,19.0,4
e2d2e55e4c6f4d379f8f4b8017d16857,story,854,30,32.0,42.0,34.7,3
cc14fd33842c8f33a809dd51cfb75b97,worldbuilding,243,28,25.0,38.0,30.3,1
a07154c849faa9013a35ec47112408cf,fan_fiction,314,32,38.0,38.0,36.0,4
e6312fdd9e91eb1752b907c13bfb4ffc,story,350,32,25.0,42.0,33.0,3
ce8544a3ab8e8e5f84b2bc10d8ca9dc7,story,397,38,12.0,38.0,29.3,3
311ee1289ed292884c05da0a7eb7e608,script,149,20,12.0,20.0,17.3,5
e515162fef0f370688032a924a68c979,fan_fiction,604,38,42.0,38.0,39.3,3
ab69a8f8859f680ca999b7fc83cf05bd,story,238,32,25.0,38.0,31.7,3
209547ddadf6efc3c9a23eb3d5e053c9,story,479,28,25.0,38.0,30.3,8
4039b76ac2663a550263f4614b02c543,poem,337,30,25.0,38.0,31.0,3
788cff1a83e9ae75435cb498c8caeb9c,song,279,24,15.0,35.0,24.7,6
f15f06d27023321100fe432dce07bbc1,story,419,32,12.0,35.0,26.3,1
2c1d4902153fe3f25ad394313f30b9e0,story,376,32,15.0,42.0,29.7,10
1385bd2a3bc8bac978baf2ee5784d5a7,story,420,38,12.0,42.0,30.7,1
df461e46f3dfa01f48fe756f532a5b6d,story,329,36,28.0,42.0,35.3,3
2c4ab47b617ffc6182a29eddd309d3ae,story,311,30,25.0,38.0,31.0,1
09f2fe43fed5552bae2144d1fb0b150e,story,461,36,25.0,42.0,34.3,2
6ab63fa2bc8a3097005373b5c83ceaba,story,543,38,10.0,42.0,30.0,4
2a994ebea549a519ba9f426f070734ce,worldbuilding,536,38,42.0,45.0,41.7,1
