id,rater_id,item_id,participant_id,task_num,task_label,rating,notes,timestamp,condition,no_interaction
101,rater_01,671,205,2,Product Review,2,They havent said anything about the restaurant or even the view on it,"""2026-02-26T19:46:42.195Z""",process,0
102,rater_01,202,65,5,Interview Response,3,,"""2026-02-26T19:48:07.489Z""",process,0
103,rater_01,371,122,1,Social Media Post,2,,"""2026-02-26T19:48:18.676Z""",process,0
104,rater_01,381,123,5,Interview Response,4,,"""2026-02-26T19:48:32.362Z""",process,0
105,rater_01,36,14,5,Interview Response,3,,"""2026-02-26T19:48:43.172Z""",process,0
106,rater_01,564,172,2,Product Review,1,,"""2026-02-26T19:48:54.639Z""",process,0
107,rater_01,215,69,1,Social Media Post,2,,"""2026-02-26T19:49:02.168Z""",process,0
108,rater_01,191,61,5,Interview Response,3,,"""2026-02-26T19:49:16.819Z""",process,0
109,rater_01,632,194,2,Product Review,1,,"""2026-02-26T19:49:25.979Z""",process,0
110,rater_01,45,17,1,Social Media Post,1,,"""2026-02-26T19:49:31.337Z""",process,1
111,rater_01,218,69,5,Interview Response,1,,"""2026-02-26T19:49:36.212Z""",process,0
112,rater_01,833,252,2,Product Review,2,,"""2026-02-26T19:49:42.663Z""",process,0
113,rater_01,4,4,5,Interview Response,3,,"""2026-02-26T19:49:51.644Z""",process,0
114,rater_01,112,36,3,Business Pitch,2,,"""2026-02-26T19:50:10.539Z""",process,0
115,rater_01,686,209,5,Interview Response,1,,"""2026-02-26T19:50:30.068Z""",process,0
116,rater_01,444,140,3,Business Pitch,2,,"""2026-02-26T19:50:40.357Z""",process,0
117,rater_01,273,90,5,Interview Response,5,,"""2026-02-26T19:51:42.257Z""",process,0
118,rater_01,672,205,3,Business Pitch,1,,"""2026-02-26T19:51:50.510Z""",process,0
119,rater_01,750,225,1,Social Media Post,2,,"""2026-02-26T19:52:39.717Z""",process,0
120,rater_01,661,202,5,Interview Response,1,,"""2026-02-26T19:52:46.790Z""",process,0
121,rater_01,783,237,5,Interview Response,3,,"""2026-02-26T19:52:54.393Z""",process,0
122,rater_01,579,176,2,Product Review,1,,"""2026-02-26T19:52:59.627Z""",process,0
123,rater_01,645,198,2,Product Review,1,There is no review here,"""2026-02-26T19:53:36.558Z""",process,0
124,rater_01,84,29,3,Business Pitch,2,,"""2026-02-26T19:54:09.657Z""",process,0
125,rater_01,725,220,5,Interview Response,1,,"""2026-02-26T19:56:04.991Z""",process,0
126,rater_01,137,45,1,Social Media Post,2,,"""2026-02-26T19:56:09.590Z""",process,0
127,rater_01,808,246,5,Interview Response,1,,"""2026-02-26T19:56:23.248Z""",process,0
128,rater_01,781,236,3,Business Pitch,2,,"""2026-02-26T19:56:41.690Z""",process,0
129,rater_01,418,134,1,Social Media Post,1,,"""2026-02-26T19:56:46.425Z""",process,0
130,rater_01,588,179,1,Social Media Post,1,,"""2026-02-26T19:56:50.765Z""",process,0
131,rater_01,721,220,5,Interview Response,1,,"""2026-02-26T19:58:17.572Z""",process,0
132,rater_01,319,105,1,Social Media Post,1,,"""2026-02-26T19:58:33.647Z""",process,0
133,rater_01,62,23,2,Product Review,2,,"""2026-02-26T19:59:19.121Z""",process,0
134,rater_01,322,105,5,Interview Response,4,,"""2026-02-26T19:59:56.172Z""",process,0
135,rater_01,12,8,5,Interview Response,1,,"""2026-02-26T20:00:05.802Z""",process,1
136,rater_01,804,245,2,Product Review,2,,"""2026-02-26T20:00:26.382Z""",process,0
137,rater_01,701,215,3,Business Pitch,1,,"""2026-02-26T20:00:40.274Z""",process,0
138,rater_01,730,220,1,Social Media Post,1,,"""2026-02-26T20:00:48.167Z""",process,0
139,rater_01,449,141,3,Business Pitch,3,,"""2026-02-26T20:01:09.910Z""",process,0
140,rater_01,532,163,2,Product Review,1,,"""2026-02-26T20:01:50.646Z""",process,0
