participant_id,task_num,word_count,time_spent,response,openai_score,qwen_score,xai_score
4,1,42,264,"Check out whats ""Swinging into my collection with style!""  I just scored a Nic Cage signed Spider-Man Noir Funko! As my favorite actor, this keepsake from the upcoming TV show feels a lot like catching a rare comic book gem! #NicCage#SpiderMannoir #Fangoals",28,25,38
4,2,96,356,"If you're a big fan of things hot, and cheesy I would recommend the new Arby's Cheesesteak! Now i know what you're thinking ""Cheesesteak is so basic, its just meats, onions, cheese and peppers..."", but trust me this sandwich is a cut above the rest as it touts a secret weapon.  Garlic is possibly the last thing you'd expect to taste in a sandwich like this, but Arby's surprises your taste buds with a punch of savory garlic that makes this sandwich something special.   You need to experience the garlicky goodness yourself, you wont be disappointed!",24,25,35
4,3,88,314,"Today I am here to pitch to you why you should invest in my business; Mjolnir Collectibles, we hammer the competition!  We dabble in the collectable scene which means we buy, sell, and trade all sorts of collectables though mainly we tend to lean towards comics and funko pops! If you enjoy thrillseeking, such as rollercoasters then I am sure you'll love our company as you ride the wave of excitement of finding rare gems such as limited edition items, and items signed by celebraties from local conventions.",24,25,25
4,5,127,351,"Honestly every day is a significant challenge, and I think rising up and charging head first to deal with it showcases my endurance, and determination as a person.   Since a young age I have been diagnosed with Diabetes, meaning as an adult I have to pay close attention to my physical health and diet to get through the day which isnt exactly easy. I have to learn to adapt to new health practices, and technologies such as my insulin pump, and blood sugar monitor to get through the day. Not only this but I have to be adaptable to handle sudden random emergencies such as spontaneous highs and lows. I believe these daily life struggles help show how I can effectively handle work challenges, and demanding situations.",20,28,35
7,1,128,270,"I can't believe how much these two sweetheart have grown since we brought them home in April. It just seems like yesterday that we came home with them. Those forst few hours of having them were nerve wrecking, I really didn't think they would ever leave the cat box that we fetched them home in, but when they were brave enough to come out I was thrilled. Toby was the first to come out and explore and when she saw her nrother leave then Echo soon followed close behind. They were so nervous and scared but we kept telling them everything was ok and they didn't need to worry. Now I look at them climbing everywhere adn gettimng into all kinds of trouble and my heart just melts.",20,25,20
7,2,123,272,"I have recently watched Mobland and I would give it ten out of ten. The show is written and directed by Guy Ritchie and stars Tom Hardy, Pierce Brosnan and Helen Mirren and is based around a crime family and there pplace in the London gangster scene. Hardy is magnificent in his role as the family sorter outer and his on screen antics are superb. Mirren plays the wife of Brosnan and her magnificent acting style is a joy to watch as is Brosnan. One thign Guy Ritchie does well is take actors out of their comfort zone and gives them a role that they need to give their all to and every actor in this does that exceptionally well. I highly recommend.",20,15,15
7,3,181,360,"Today more than ever people are owning pets and the fact that pets can help with your mental health is one of the main reasons that people adopt cats and dogs. But owning a pet comes with it's own problems and stresses and while owning a pet can be very rewarding it can also make us worry about them. One worry is about leave your beloved cat at home while you go to work, because lets face it these little cuties aren't chep to care for so we have to go to work to be able to provide good care for our little fur babies. This is where I come in, I offer to come and either spend the day with your little one or pop in a few times a day to check that they are alright or I can arrange for someone to stay if you have to go on holiday. Each service will come at different but very reasonable prices and I can guarantee that they will be loved and cared for as if they were my own",20,25,25
7,5,197,360,"I have worked with people that have strugled to read and write and in my role as an adult tutor I had the pleasure of meeting a gentleman that had hidden the fact that he could not read or write and he had hidden this from his family and previous employer for years, He had managed to work his wqay up to a supervisor in hisd previous job but had recently been made redundant and that was when I met hm. He was very reluctant to let me help and got angry if I tried to help and one day he got very distressed and scared soome of the staff, by this time I had started to suspect that he had problems with reading and I managed to calm him down and asked to speak to him alone and that wa when he broke down and confessed. I assusred him tha he wasn't the first person to walk through the door that couldn't read and I assured him that I could help. We organised for him to come in weekly and do homework and within 6 months he was reading at a level he never thought possible.",24,25,25
8,1,10,359,"Today marks the begging of a love story, tow h",10,10,10
8,2,41,152,"I just finished watching moana 2, it was intresting but not as i expected, i thing it was a little over rated as i did not really get the story and the message i thiink i enloyed the part 1 better.",15,15,12
